Especies;Guarapuava;Campina do Sim?o;Cand?i;Cantagalo;Goioxim;Pinh?o;Turvo;MUSEU;iNaturalist;SiBBr;CAMPO;CETRAS
Amphisbaena darwinii ;1;0;0;0;0;0;0;1;1;1;1;0
Amphisbaena prunicolor ;1;0;0;0;1;0;0;0;2;0;0;0
Leposternon microcephalum ;1;0;0;0;1;0;0;0;2;0;0;0
Ophiodes fragilis ;1;1;1;1;1;0;1;1;3;0;2;0
Hemidactylus mabouia;1;0;1;0;0;0;0;0;2;1;0;0
Urostrophus grilli ;0;0;0;0;0;0;1;0;3;0;1;0
Enyalius perditus ;0;1;0;0;1;0;1;0;3;0;1;0
Salvator merianae ;1;1;1;1;1;1;1;0;7;5;6;7
Tropidurus catalanensis ;1;0;0;0;1;0;0;0;1;0;0;0
Acanthochelys spixii ;1;0;0;0;1;0;0;0;2;1;0;8
Hydromedusa tectifera;1;0;0;0;1;0;0;0;2;0;0;21
Phrynops williamsi ;1;0;0;0;1;0;0;0;1;1;0;0
Liotyphlops ternetzii ;1;0;0;0;1;0;0;0;2;0;0;0
Atractus reticulatus ;1;1;0;0;0;0;0;0;1;0;3;0
Boiruna maculata ;1;0;0;0;1;0;0;0;2;0;0;0
Chelonoidis carbonaria;1;0;0;0;0;0;0;0;1;0;0;3
Chironius bicarinatus ;1;0;0;0;1;0;0;0;2;0;0;0
Chironius laevicollis ;0;0;0;0;0;1;0;0;1;0;0;0
Dibernardia bilineata;1;0;0;0;0;0;0;0;1;0;0;0
Dipsas neuwiedi ;1;0;0;0;0;0;0;0;1;0;0;0
Dipsas ventrimaculata ;0;0;0;0;1;0;0;0;1;0;0;0
Dryophylax hypoconia ;1;0;0;0;1;0;0;0;1;0;0;0
Echinanthera cyanopleura ;1;0;0;0;1;0;0;0;2;0;0;0
Erythrolamprus aesculapii;1;0;0;0;0;0;0;0;0;0;0;1
Erythrolamprus jaegeri ;1;0;0;0;0;0;0;4;1;0;0;0
Erythrolamprus miliaris;1;1;0;0;0;0;0;0;2;0;1;0
Erythrolamprus poecylogirus ;1;0;0;0;0;0;0;0;1;1;0;0
Erythrolamprus typhlus;0;1;0;0;0;0;0;0;1;0;1;0
Gomesophis brasiliensis ;1;0;0;0;0;0;0;2;1;0;0;0
Helicops carinicaudus ;0;0;0;0;0;0;1;0;0;0;2;0
Helicops infrataeniatus ;1;0;0;0;1;0;1;1;3;2;0;0
Mesotes strigatus ;1;0;0;0;0;0;1;4;1;0;3;0
Oxyrhopus clathratus ;1;0;0;0;0;1;1;0;3;1;1;0
Oxyrhopus rhombifer ;1;0;0;0;0;0;1;2;1;0;1;0
Oxyrhopus petolarius ;1;0;0;0;0;0;0;0;1;0;0;0
Philodryas olfersii ;1;0;0;0;1;0;0;2;2;0;0;2
Philodryas patagoniensis ;1;1;0;0;0;0;1;3;2;0;2;7
Pseudoboa haasi ;1;0;0;0;1;0;0;1;2;7;0;0
Paraphimophis rusticus ;1;0;0;0;1;0;0;0;2;0;0;0
Spilotes pullatus;1;0;0;0;1;0;0;0;1;0;0;0
Tomodon dorsatus;1;1;0;0;0;1;1;15;4;1;1;5
Xenodon guentheri ;1;0;0;0;1;0;0;0;2;0;0;0
Xenodon merremii ;1;0;0;0;1;0;0;1;3;0;0;1
Xenodon neuwiedii ;1;0;0;0;1;0;0;0;2;0;0;0
Micrurus altirostris ;1;1;0;0;0;0;1;5;2;1;3;13
Micrurus frontalis ;1;0;0;0;0;0;0;1;1;0;0;0
Crotalus durissus ;1;0;1;0;1;1;0;1;4;0;0;1
Bothrops alternatus ;1;0;0;0;1;0;1;2;4;1;1;4
Bothrops jararaca ;1;1;1;1;1;1;1;10;7;2;5;4
Bothrops neuwiedi ;1;0;0;0;0;0;0;3;1;4;0;3
